#Function	Entry	Category	Function	Gene abbreviation
085	148||149||150	Oxidative phosphorylation	Complex I (NADH-quinone oxidoreductase)	nuoABC
086	151||152||153	Oxidative phosphorylation	Complex I (NAD(P)H-quinone oxidoreductase)	NdhABC
087	154||155	Oxidative phosphorylation	Complex II (Succinate dehydrogenase/Fumarate reductase)	sdhCD
088	156||157||158	Oxidative phosphorylation	Complex III (Cytochrome c reductase)	petAB||fbcH
089	159||160	Oxidative phosphorylation	Complex V (ATP synthase: V/A-type H+/Na+-transporting ATPase)	atpAB (V/A-type)
090	161||162	Oxidative phosphorylation	Complex V (F-type H+-transporting ATPase)	atpAD (F-type)
091	163||164	Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome c oxidase, caa3-type	coxAB
092	165||166||167	Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome c oxidase, cbb3-type	ccoNOP
093	168||169||170||171	Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome (quinone) oxidase, bo type	cyoABCD
094	172||173	Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome (quinone) oxidase, bd type	cydAB
095	174||175	Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome (quinone) oxidase, aa3 type, QoxABCD	qoxAB
096	176||177||178	Urea utilization	Urease	ureABC
097	179||180||181||182	Halogenated compound utilization	Halogenated compounds breakdown	E3.8.1.2||pcpC||cprA||pceA
098	183||184	Perchlorate reduction	Perchlorate reduction	pcrAB
099	185	Chlorite reduction	Chlorite reduction	cld
100	189||190	As cycling	Arsenite oxidation	arxA||aioA
101	186	As cycling	Arsenate reduction	arrA
102	192||193||194	Selenate reduction	Selenate reduction	ygfMK||xdhD
103	195||196	Nitrile hydration	Nitrile hydratase	nthAB
104	209||210||211||212||213||214||215||216||217||218||219||220||221||222||223||224||225||226||227||228||229||230||231||232	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes
